# range of table (0,6.26256)
2.54886 0.558629 -0.829424 -0.556292
2.55512 0.553424 -0.832896 -0.552692
2.56139 0.548197 -0.836346 -0.549092
2.56765 0.542949 -0.83977 -0.543327
2.57391 0.537679 -0.843148 -0.535635
2.58017 0.532388 -0.846479 -0.527944
2.58644 0.527077 -0.849773 -0.52521
2.5927 0.521745 -0.853058 -0.524185
2.59896 0.516392 -0.856338 -0.52316
2.60522 0.511019 -0.859587 -0.514069
2.61149 0.505626 -0.862777 -0.504626
2.61775 0.500213 -0.865908 -0.49618
2.62401 0.49478 -0.869004 -0.492505
2.63028 0.489328 -0.872077 -0.488831
2.63654 0.483857 -0.875126 -0.484963
2.6428 0.478367 -0.87815 -0.480791
2.64906 0.472859 -0.881148 -0.476618
2.65533 0.467331 -0.884116 -0.470174
2.66159 0.461785 -0.887035 -0.462226
2.66785 0.456221 -0.889905 -0.454278
2.67411 0.450639 -0.892728 -0.447507
2.68038 0.445039 -0.89551 -0.441001
2.68664 0.439423 -0.898252 -0.434652
2.6929 0.433789 -0.900969 -0.43323
2.69916 0.428138 -0.903678 -0.431809
2.70543 0.42247 -0.906376 -0.428519
2.71169 0.416786 -0.909032 -0.419475
2.71795 0.411085 -0.91163 -0.41043
2.72421 0.405367 -0.914175 -0.403304
2.73048 0.399634 -0.916686 -0.398434
2.73674 0.393886 -0.919166 -0.393565
2.743 0.388122 -0.921612 -0.387348
2.74926 0.382343 -0.924017 -0.380479
2.75553 0.376548 -0.926378 -0.373611
2.76179 0.37074 -0.928705 -0.370137
2.76805 0.364916 -0.931014 -0.367088
2.77431 0.359079 -0.933303 -0.3634
2.78058 0.353227 -0.93555 -0.35415
2.78684 0.347361 -0.937739 -0.3449
2.7931 0.341482 -0.939872 -0.337819
2.79936 0.335589 -0.94198 -0.335397
2.80563 0.329683 -0.944073 -0.332975
2.81189 0.323764 -0.946144 -0.326853
2.81815 0.317833 -0.948162 -0.317477
2.82441 0.311889 -0.950121 -0.3081
2.83068 0.305932 -0.952033 -0.303826
2.83694 0.299964 -0.953928 -0.301285
2.8432 0.293984 -0.955807 -0.298743
2.84946 0.287993 -0.957652 -0.290215
2.85573 0.28199 -0.959442 -0.281444
2.86199 0.275976 -0.961177 -0.273362
2.86825 0.269951 -0.962874 -0.268518
2.87452 0.263916 -0.96454 -0.263674
2.88078 0.25787 -0.966175 -0.257894
2.88704 0.251814 -0.967768 -0.25065
2.8933 0.245749 -0.969315 -0.243406
2.89957 0.239674 -0.970823 -0.23959
2.90583 0.233589 -0.972318 -0.238018
2.91209 0.227495 -0.973804 -0.236446
2.91835 0.221392 -0.975252 -0.224057
2.92462 0.21528 -0.976609 -0.209275
2.93088 0.20916 -0.977873 -0.195124
2.93714 0.203032 -0.979108 -0.199195
2.9434 0.196897 -0.980368 -0.203265
2.94967 0.190753 -0.98165 -0.202445
2.95593 0.184602 -0.982869 -0.186787
2.96219 0.178443 -0.98399 -0.17113
2.96845 0.172277 -0.985024 -0.163606
2.97472 0.166105 -0.986055 -0.16554
2.98098 0.159927 -0.987098 -0.167473
2.98724 0.153742 -0.988131 -0.159088
2.9935 0.147551 -0.989085 -0.145776
2.99977 0.141354 -0.989956 -0.132464
3.00603 0.135151 -0.990782 -0.132591
3.01229 0.128944 -0.991618 -0.134357
3.01855 0.122731 -0.992464 -0.134349
3.02482 0.116513 -0.993259 -0.119365
3.03108 0.110291 -0.993959 -0.104381
3.03734 0.104064 -0.994571 -0.0942382
3.0436 0.0978336 -0.995161 -0.0943662
3.04987 0.0915995 -0.995753 -0.0944941
3.05613 0.0853616 -0.996337 -0.089801
3.06239 0.0791203 -0.996871 -0.0809144
3.06865 0.0728758 -0.99735 -0.0720279
3.07492 0.0666285 -0.997779 -0.0655769
3.08118 0.0603786 -0.998172 -0.0599408
3.08744 0.0541263 -0.99853 -0.0543047
3.0937 0.047872 -0.998851 -0.0482367
3.09997 0.0416157 -0.999134 -0.0421525
3.10623 0.0353578 -0.999379 -0.0359345
3.11249 0.0290984 -0.999583 -0.0291002
3.11875 0.022838 -0.999744 -0.022266
3.12502 0.0165766 -0.999862 -0.015813
3.13128 0.0103147 -0.999943 -0.00994964
3.13754 0.0040523 -0.999987 -0.00408626
3.14381 -0.00221022 -0.999994 0.00196064
3.15007 -0.00847266 -0.999962 0.00812623
3.15633 -0.0147348 -0.999892 0.0142918
3.16259 -0.0209963 -0.999782 0.0208435
3.16886 -0.0272571 -0.999631 0.027479
3.17512 -0.0335168 -0.999438 0.0340868
3.18138 -0.0397751 -0.999206 0.0399561
3.18764 -0.0460318 -0.998937 0.0458255
3.19391 -0.0522868 -0.998632 0.0519017
3.20017 -0.0585397 -0.998286 0.058596
3.20643 -0.0647904 -0.997898 0.0652903
3.21269 -0.0710385 -0.997469 0.0711353
3.21896 -0.0772837 -0.997009 0.0760038
3.22522 -0.083526 -0.996517 0.0808723
3.23148 -0.0897652 -0.995989 0.0887007
3.23774 -0.0960008 -0.995405 0.097924
3.24401 -0.102233 -0.994763 0.107147
3.25027 -0.10846 -0.994079 0.110656
3.25653 -0.114684 -0.993377 0.113487
3.26279 -0.120902 -0.992657 0.116854
